Source,Target
George Keith,William Bradford
George Keith,George Whitehead
George Keith,George Fox
George Keith,William Penn
George Keith,Franciscus Mercurius van Helmont
George Keith,Anne Conway Viscountess Conway and Killultagh
George Keith,Benjamin Furly
George Keith,Robert Barclay
Robert Barclay,David Barclay of Ury
Benjamin Furly,Robert Barclay
Benjamin Furly,William Penn
Benjamin Furly,William Caton
Benjamin Furly,Alexander Parker
Stephen Crisp,Benjamin Furly
John Stubbs,Benjamin Furly
George Fox,Benjamin Furly
Franciscus Mercurius van Helmont,Benjamin Furly
James Parnel,Benjamin Furly
William Penn,Richard Claridge
William Penn,Margaret Fell
William Penn,David Lloyd
William Penn,Mary Penington
William Penn,Thomas Story
William Penn,James Claypoole
William Penn,Tace Sowle
Rebecca Travers,William Penn
John Burnyeat,William Penn
George Whitehead,William Penn
Edward Haistwell,William Penn
James Logan,William Penn
Isaac Norris,William Penn
George Fox,William Penn
Isabel Yeamans,William Penn
William Bradford,William Penn
George Fox,Leonard Fell
George Fox,John Perrot
George Fox,John Stubbs
George Fox,William Coddington
George Fox,Thomas Ellwood
George Fox,John Wilkinson
George Fox,Edward Burrough
George Fox,James Nayler
George Fox,Thomas Salthouse
George Fox,George Whitehead
George Fox,John Crook
George Fox,Margaret Fell
George Fox,Elizabeth Hooten
George Fox,William Mead
George Fox,Ellis Hookes
Francis Howgill,George Fox
John Audland,George Fox
William Dewsbury,George Fox
William Mucklow,George Fox
George Whitehead,Rebecca Travers
George Whitehead,John Story
George Whitehead,Daniel Quare
George Whitehead,John Whitehead
George Whitehead,Alexander Parker
Richard Hubberthorne,George Whitehead
Gilbert Latey,George Whitehead
Francis Bugg,George Whitehead
James Nayler,George Whitehead
William Rogers,George Whitehead
William Bradford,Tace Sowle
James Parnel,Stephen Crisp
Stephen Crisp,William Caton
Peter Collinson,James Logan
Peter Collinson,John Bartram
James Logan,John Bartram
James Logan,David Lloyd
Joseph Wyeth,Thomas Ellwood
John Story,Thomas Ellwood
Thomas Curtis,Thomas Ellwood
Mary Penington,Thomas Ellwood
Edward Burrough,Thomas Ellwood
James Nayler,Thomas Ellwood
William Rogers,Thomas Ellwood
Dorcas Erbery,James Nayler
James Nayler,William Tomlinson
James Nayler,Rebecca Travers
James Nayler,Edward Burrough
James Nayler,Anthony Pearson
James Nayler,Robert Rich
James Nayler,John Perrot
James Nayler,Richard Farnworth
James Nayler,Margaret Fell
James Nayler,Gervase Benson
James Nayler,Hannah Stranger
Martha Simmonds,James Nayler
Francis Howgill,James Nayler
William Dewsbury,John Crook
William Dewsbury,Edward Burrough
Edward Burrough,William Crouch
Edward Burrough,John Perrot
Gilbert Latey,Edward Burrough
John Crook,Edward Burrough
Francis Howgill,Edward Burrough
John Crook,John Perrot
John Audland,Anne Camm
John Audland,Charles Marshall
John Audland,Edward Pyott
John Audland,Francis Howgill
John Audland,John Camm
John Camm,Edward Pyott
John Camm,Thomas Camm
John Camm,Charles Marshall
Francis Howgill,William Crouch
Francis Howgill,Richard Farnworth
Francis Howgill,Martha Simmonds
John Wilkinson,Charles Marshall
Thomas Camm,Anne Camm
Martha Simmonds,Hannah Stranger
Richard Farnworth,Anthony Pearson
Richard Farnworth,Margaret Fell
Richard Farnworth,John Perrot
Richard Hubberthorne,Richard Farnworth
Jane Sowle,Tace Sowle
George Fox the younger,Margaret Fell
Margaret Fell,Anthony Pearson
Margaret Fell,Elizabeth Leavens
Margaret Fell,Alexander Parker
Thomas Lawson,Margaret Fell
William Caton,Margaret Fell
William Mead,Margaret Fell
Thomas Lower,Margaret Fell
Thomas Salthouse,Margaret Fell
John Wilkinson,Alexander Parker
John Wilkinson,John Story
John Wilkinson,Solomon Eccles
John Stubbs,John Burnyeat
John Stubbs,Samuel Fisher
John Stubbs,William Caton
Mary Prince,John Perrot
Mary Fisher,John Perrot
William Ames,William Caton
John Burnyeat,William Edmundson
John ap John,John Burnyeat
Thomas Camm,John Story
Thomas Curtis,John Story
Solomon Eccles,John Story
Alexander Parker,Sir Charles Wager
Thomas Lawson,Alexander Parker
John Swinton,David Barclay of Ury
Gervase Benson,Anthony Pearson
Robert Rich,William Tomlinson
Thomas Aldam,Anthony Pearson
Rebecca Travers,Alice Curwen
Anthony Sharp,William Edmundson
Anthony Sharp,Thomas Curtis
Anthony Sharp,Samuel Clarridge
Samuel Clarridge,James Claypoole
Thomas Curtis,William Simpson
Mary Penington,Thomas Curtis
Mary Fisher,Mary Prince
Henry Pickworth,Francis Bugg
William Gibson,Thomas Holme
Elizabeth Leavens,Thomas Holme
Joseph Besse,Samuel Bownas
Joseph Besse,Richard Claridge
Silvanus Bevan,Daniel Quare
John Penington,Mary Penington
Lewis Morris,Sir Charles Wager
